Temperature,Voltage,RF_Frequency
76,9,2401
43,8,2409
54,11,2443
40,7,2432
79,10,2446
52,9,2429
75,11,2421
48,7,2437
71,8,2444
53,10,2405
78,11,2406
50,10,2408
62,7,2430
55,9,2402
60,11,2447
56,11,2407
80,8,2436
64,7,2410
46,11,2412
72,8,2441
49,9,2411
47,10,2450
77,7,2426
69,7,2419
65,9,2431
51,8,2413
42,10,2420
74,11,2404
66,10,2427
61,11,2422
57,9,2435
70,8,2414
41,7,2423
44,7,2449
45,8,2439
59,10,2416
58,11,2424
73,9,2434
67,11,2448
68,8,2440
63,10,2417
66,7,2442
64,9,2425
55,8,2400
48,7,2428
62,11,2445
56,10,2414
74,9,2409
44,10,2430
65,8,2448
45,9,2447
53,7,2450
75,11,2441
41,9,2435
78,7,2404
70,11,2432
49,8,2434
57,10,2436
71,8,2437
60,10,2418
58,7,2429
69,9,2416
54,11,2427
79,7,2403
47,10,2449
40,9,2438
80,11,2433
59,8,2419
42,10,2405
76,9,2425
63,7,2443
68,8,2413
61,11,2411
52,10,2401
72,8,2415
43,7,2423
73,10,2417
67,8,2431
50,7,2410
51,11,2442
46,9,2428
77,7,2420
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
